loss:7.3207 accuracy:0.0512

loss:6.9118 accuracy:0.0545

loss:6.7547 accuracy:0.0574

loss:6.6257 accuracy:0.0637

loss:6.5100 accuracy:0.0672

loss:6.3961 accuracy:0.0751

loss:6.2874 accuracy:0.0824

loss:6.1811 accuracy:0.0857

loss:6.0766 accuracy:0.0922

loss:5.9718 accuracy:0.0988

loss:5.8806 accuracy:0.1040

loss:5.7920 accuracy:0.1085

loss:5.7028 accuracy:0.1140

loss:5.6162 accuracy:0.1176

loss:5.5260 accuracy:0.1210

loss:5.4322 accuracy:0.1256

loss:5.3444 accuracy:0.1307

loss:5.2509 accuracy:0.1355

loss:5.1616 accuracy:0.1416

loss:5.0737 accuracy:0.1474

loss:5.0087 accuracy:0.1529

loss:4.9114 accuracy:0.1609

loss:4.8182 accuracy:0.1665

loss:4.7404 accuracy:0.1747

loss:4.6587 accuracy:0.1800

loss:4.5879 accuracy:0.1882

loss:4.5111 accuracy:0.1960

loss:4.4360 accuracy:0.2063

loss:4.3626 accuracy:0.2142

loss:4.3163 accuracy:0.2224

loss:4.2371 accuracy:0.2325

loss:4.1616 accuracy:0.2426

loss:4.0934 accuracy:0.2553

loss:4.0316 accuracy:0.2648

loss:3.9695 accuracy:0.2757

loss:3.9095 accuracy:0.2840

loss:3.8570 accuracy:0.2939

loss:3.8016 accuracy:0.3036

loss:3.7315 accuracy:0.3160

loss:3.6801 accuracy:0.3246

loss:3.6357 accuracy:0.3310

loss:3.5816 accuracy:0.3413

loss:3.5349 accuracy:0.3495

loss:3.4831 accuracy:0.3585

loss:3.4340 accuracy:0.3677

loss:3.3828 accuracy:0.3774

loss:3.3420 accuracy:0.3854

loss:3.3003 accuracy:0.3937

loss:3.2596 accuracy:0.3973

loss:3.2154 accuracy:0.4091

loss:3.1708 accuracy:0.4184

loss:3.1378 accuracy:0.4229

loss:3.0978 accuracy:0.4308

loss:3.0594 accuracy:0.4380

loss:3.0185 accuracy:0.4452

loss:3.0036 accuracy:0.4453

loss:2.9737 accuracy:0.4537

loss:2.9195 accuracy:0.4627

loss:2.8911 accuracy:0.4672

loss:2.8603 accuracy:0.4718

loss:2.8170 accuracy:0.4825

loss:2.7970 accuracy:0.4859

loss:2.7629 accuracy:0.4922

loss:2.7346 accuracy:0.4970

loss:2.7039 accuracy:0.5035

loss:2.6799 accuracy:0.5079

loss:2.6512 accuracy:0.5155

loss:2.6202 accuracy:0.5188

loss:2.5944 accuracy:0.5218

loss:2.5809 accuracy:0.5249

loss:2.5492 accuracy:0.5337

loss:2.5333 accuracy:0.5354

loss:2.4945 accuracy:0.5446

loss:2.4776 accuracy:0.5441

